,댓글
119,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
120,어쨋든 살....
121,보관해뒀다가 손님왔을때 드리면 딱이네요👍
122,형 마지막 사진은 저팔계찍은거야?
123,이미 물렸노
124,닭가슴살과 프로틴? 형님 배가 부르셨군요?
125,@brother__233
126,마지막 8번사진도 블리자드에서 보내주신건가요? 토실토실해서 먹음직스럽네요^^;;
127,미쳣다 장패드 하나만..!!
128,이거 새로운 warcraft 게임이야?
129,5만 명 이 엊그제 같앴는데 7만명 이나 됐네? 많이 컸다ㅋ
130,그래서 마지막 사진이 식량이죠?
131,형 어짜피 이거 안하자나
132,ㅁㅇㅁㅇ~
133,똥빼로야?
134,(똥모양으로 만든거면) 엄청 잘만들었다~^^
135,빼빼로가 아니라 걍 초콜릿덩어리인듯 ㅇㅡㅇ
136,@doheon.gweon 개웃기네
137,좋으면서 왜구랩
138,형 배찌 옷 잘 어울리네
139,형 무슨 조카한테 빼빼로를 받고 그래...
140,동족학살
141,똥빼로 맞죠?!
142,뒤틀린 황천의 빼빼로 먹방
143,그래서 맛있었엉?
144,목 두께가 ㅋㅋ
145,ㅇㄹㄸ
146,머독님 담에도 친구들이랑 오지엔 놀러와요~~👾
147,오른쪽 아래 왠 엄지손가락이..
148,형이왜 거기서 나와...?
149,목두께 지려따리지려따 오져따리오져따 으른이다으른
150,재원님 일자목 ㅋㅋㅋㅋ
151,머독이는 왜 가짜사나이 모임 안갔냐😢
152,머독님이 존잘🥰
153,우측하단 돌하르방 뭡니까
154,울 머독이 넘 기여어...❤️
155,@olaeurl
156,집이... 더러운 이유를 알겠어요...
157,ㅋㅋㅋㅋㅋㅋㅋㅋㄹㅃㅂ
158,😆
159,주다사 불러 형 ㅋㅋㅋㅋㅋ
160,등짝 스메쉬 각 ㅋㅋㅋ
161,진짜 막막하다 어떻게 치워............ㅜㅜㅜㅜㅜㅜ
162,❤️
163,ㅇ....어?...
164,양말 짝째기는 머도기의 일부가되어버린건가
165,ㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ
166,ㅋㅋㅋㅋㅋㅋ
167,ㅋㅋㅋㅋㅋ
168,🤣🔥🔥
169,웬 노숙자가
170,자 이제 인생사진 보여주셈
171,정답 등산간 우리 아빠
172,1이건 뭐야! 2.내가 사진 한번 찍어준다!
173,형 비키니 짤이 최곤데... 하잇!
174,머도기닷
175,머독이 진짜 너무 사랑스러워ㅠ❤️❤️
176,인생사진...?
177,귀여우ㅜ 깨물어쥬기고시퍼ㅠ
