,댓글
103,"This bike looks really convenient. Always good to keep the body in a healthy and fit state and I'm sure this will help in the process. And while working out you can watch something on Netflix or Youtube or do other things on table. 👍
Berry is prettiest and fittest ambassador for that and will stay with that bike."
104,Beautiful ❤️❤️❤️❤️❤️❤️❤️❤️
105,와우! 그 자전거는 정말 멋지고 편리해 보여! 만약 내가 그것을 갖게 된다면 나는 내 여동생 베리님 예쁘고 운동신경이 되었으면 좋겠어 🙌😮
106,Damn 😍🤩 you're beautiful🔥🔥🔥🔥👏
107,😮 extra hardworking Berry! 😍🍓💖
108,SHEEEEEEEEEEEEEEEEEEEEEESH
109,SHEEEEEEEEEEEESH commander 😳😳😳
110,This is very good selfie. 🔥😳🥵👏🙌
111,일자배꼽 예쁘긴 해...😮❤️
112,Uhhhhmmmm...
113,Berry 1-pack 😍
114,Nice selfie angle Berry 😳
115,oh u posted this one... ㅗㅜ ㅑ 😳
116,아늑한 😊🔥
117,"😍😍😍😘😘😘
Love you❤️"
118,Leve ❤️❤️🔥🔥🔥
119,아니 배꼽까지 이쁘고 사랑스러울 일인가요😍😍 항상 사랑합니다❤️❤️
120,어머 요정 😍
121,Cozy Berry best Berry. 😍
122,so cool picture 😳
123,Holy shit 😳
124,I will make you smile crazy 😜 😘 😉 😂❤️❤️❤️
125,Looking cute 🔥❤️🍓
126,You’re so gorgeous and perfect commander!!!❤️❤️❤️❤️
127,Sleepy Berry
128,hope you get a good nights sleep dude 😴😴😴
129,베리찡 이뽀~ 보고싶어~ 너무 좋앙~😍😍😍
130,Where's the happy face 😢 here's a loving heart for you Berry 💝 🥰👸🏻🥰 🌹😘🌹
131,i like the new angle selfie ... ㅗㅜ ㅑ
132,👁👁 I will not lose! 😎
133,Go to sleep Berry😂
134,혀낼름 귀엽다❤️잘 주무셨나요?
135,Staring contest 😳 bimpas will always win
136,😂
137,Uhhhh...
138,내사랑 베리와떠? 사랑해😍
139,정말 아름다워요
140,😍
141,뭔가 확 덮치는줄 알았어여..😂😂ㅋㅋ
142,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
143,🤎🤎🤎😝
144,홀 무슨녹음했어~~
145,고생 많으셨어요 베리님♥ 녹음때 함께 못해 너무 아쉬웠슴당 ㅠㅠ♥
146,"👏 So exciting.. take off day from stream if you need, you deserve it"
147,👏👏
148,고생 많으셨어요! 즐겁게 기다리고 있을게요👏👏
149,I'm excited for the end result. If you are too exhausted and tired for stream today better rest.
150,lets gooo 🔥
151,Sweet!🔥
152,"Looking at the next big Kpop star, congratulations on your song😮👏"
153,Now im curious what song will it be 👏👍
154,"Comfy comfy ,its ok were family 👪 ☺"
155,🌸🌸🌸🌸
156,OMG!😱 I never expected this to happen.
157,別這樣，會石更😂😂
158,Poor bond😢
159,Bruh 😳😂
160,왜 내가 아픈...그와중에 경찰베리 예쁘네😂
161,🤭🥵🙌👏
162,애 낳을 때 고통 과 비슷 하다던데 😂
163,ㅗㅜㅑ 😳🔥
164,😂😂
165,IT HURTS SO GOOD 🥴
166,"경찰관 베리님 정말 너무너무 아름답고 섹시하셔요 😍❤️❤️ 역시 어떤 코스프레든 빛베리님이 하는거라면 늘 완벽하기마련.,.❤️❤️❤️"
167,Whatchamp ???? 😅
168,칭. 찬. More. 🔥.
169,🔥👏아름다우십니다👏🔥
170,"Sexy cutie, what you do best in my opinion 😍🥵"
171,예뻐요! 오늘 나갔다오니 사진보니 괜히 추워보인다😂
172,Sweet sweet gorgeous baby! ❤❤❤❤❤❤❤❤❤❤❤❤ I love you so much!!
173,천사처럼 영원히 아름다운 😇 😮 😮 😮
174,Ouya 🔥🔥
175,누나 너무 이쁘고 너무 섹시하고 완벽해요❤️❤️❤️
176,이야 너무이쁘고ㅋㅋ
177,🥰 very beautiful you are truly the idol of twitch. ❤️
178,1# twitch idol streamer 😍
179,매력있으세요
180,미쳤다 존예 사랑해여베리베리❤️
181,"this picture is so amazing, your smile 😳 , also love the background"
182,"Christmas came early, such a beautiful picture ❤️🔥"
183,wow 🤯🤯 i missed you berry 🥵
184,💕
185,베리님 휴가 언제까지신가유??
186,🥰🥰🥰
187,Finally 😢❤️
188,열대 천사 😇🌴
189,💙💚
190,Ohhh My!!!!🥰🥰🥰
191,So good to see you smile 😍
192,I don't know what I am supposed to respond because I know nothing about K-Pop. So I am glad you found something interesting/good?!?
193,Berry only likes him because of Gucci! 😍😂
194,i miss you peaches 😢❤️
195,Hmmmmm...🤔
196,Are you single now?
197,There is always room for another oppa 😂
198,oppa 😍😍😍😳😳😳
199,엑소멤버 그분이신가?
200,kai new oppa 😲👍🏻🍑
201,New crush. Hmmm😂😂😂
202,남돌은 하나도 모르는데 베리님 추천이니 한번은 들어보겠습니다😮
203,for sure he looks nice 😳😳😳
