,댓글
140,비율 뭐지..?
141,조심히 다녀와요ㅠㅠ
142,조심히!!!!!다녀와유😭😭
143,후광이 ㄷㄷㄷ
144,생방보다가 좋아요 눌러 달라길래 급하게 왔습니다!악어님 넘 귀여우셔😍
145,ㅋㅌ
146,😍😍😍😍😍
147,😍
148,흐어ㅓ!! 너무 귀여워여!! 😍😍
149,결혼해주세여
150,모야 입모양 쪼꼬미네 박중력인줄 ㅠㅠ♡♡ 둘다 귀엽다는건 안비밀
151,옴뇸뇸뇸...ㅎ
152,물 먹는 비결 좀....🖤
153,오웋 무한반복한다!!!
154,왜잘생김
155,기여워여😍😍
156,😂👏
157,ㅈ
158,.
159,진짜 제일 좋아했던 시즌 ㅠㅜㅠㅠㅠ 사랑해오ㅠㅠㅠㅠ
160,리타국가 퍼블당하지 않길빕니다
161,❤️❤️❤️
162,지원했어요! 악어님 늪지대 모두 화이팅!!
163,마크에이즈는 인생입니다
164,와 마크에지3는 못봤서 유튜브로 볼라고 했는데 비공개 돼어있고 그리고 6년만에 3를 하게돼어 기쁘고 그리고 마크에이지 만화책 전쟁의 시대를 봤는데 재미는 있지만 어다에서 봤다고 했더니 그냥 마크에지2리턴즈여서 깝짝놀라서 일다는 처음에 새각이 날먹인줄알았더니 샐각해보니 그게맞은거 같아서 일단 돈이아깝다라고 생각하여 일단 다 봤구여 마크에이지3도 꼭 우승할수 있으면 우승하시고 그리고 코라나가 끝나면 팬미팅하면 좋을것같아요 그러면 화이팅
165,❤️
166,"Check your DM for more business,I am Mieke from L.A"
167,마크에이지5 보고싶다
168,심쿵❤️
169,외국 해리포터가 있다면 저희는 한국 해리포터가 있군요.. 하 너무 잘생겼어요 진짜.... 팬심으로 사랑합니다 ㅋㅋㅋㅋㅋㅋ
170,오늘 스토리에 올리신 셀카 무슨 일이에요?! 완전 제가 꿈에 그리던 이상형이랑 완전 똑같아요! 너무 놀랐어요! 하루에 셀카 한 장은 올리셔야 될 비쥬얼! 감사해요! 진짜로 사랑해요! ❤️
171,👏👏👏👏👏👏쫘악~~!😍
172,지코바 치킨 먹방 유튜브에 올려주시면 안돼요?! ㅋㅋ💚 감사합니다! ㅋㅋ💚
173,"오늘도 완전 아름다우신 동민님! ♡ 빈 속에는 고구마, 바나나, 신 과일 이런거 먹으면 안된대요! ♡ 혹시 지금 빈 속이시라면 두부, 두유, 견과류 같은 음식들 추천 드려요! ♡ 감사합니다! ♡ 사랑합니다! ♡"
174,진동민형 볼살 크다😍😍😍😍
175,악어님을 보면 저는 세상에서 가장 멋진 곳으로 여행을 간 것 같아요! 악어님을 보면 전 행복해요! 항상 건강하시고 행복하시길 바래요! 감사합니다! 사랑합니다! ♡
176,마법을 걸어주세요
177,다시 태어나면 악어님이 되기를..ㅋㅋ
178,한국판 잘생긴 해리포터 어어어ㅓㅇ😍😍
179,@msj0_0 야 해포팬은 못참지
180,🎂🎊🎉👏👏💓💙💛💜🌞🌞🏖🇪🇦🇪🇦🇪🇦🇪🇦🙏
181,악어님 생일 축하드려요! 사랑해요♥♥ 영원히~♥
182,너무 늦게봐서 죄송합니다... 생일축하드려요!!! 항상 좋은일 생기시고 재밌게 방송하시고 행복하게 사세요!!!
183,생일축하드려요!! (팬)
184,생일 축해용
185,아거왕자는~ 사랑받기위해 태어난사람~
186,"행복이 뭔지 몰랐는데, 동민님을 보면 제가 행복을 느끼고 있었습니다. 동민님을 보면 행복합니다. 무병장수 해주십시오! 소중한 동민님 무병장수해주십시오! ㅋㅋㅋ 감사합니다. 존경합니다. 사랑합니다. ㅎㅎㅎ"
187,오호 악어왕자님 맞았군요 ㅎ 누나들 생일날 반가웠어유!
188,동민님 몇일 전 술먹방 너무 감사하게 잘봤어요. 👍 감사해요. 👍 역시 동민님이 최고예요. 👍 동민님 혼자 먹방하시는것도 보고싶은. ㅋㅋ👍 동민님 감사해요. 👍 사랑해요. 👍
189,항상 좋은 활동 감사드려요. ♡ 항상 건강하시고 행복하세요! ♡ 사랑합니다! ♡ 감사합니다! ♡
190,동민님이 있어서 저는 행복합니다. 항상 건강하고 행복해 주십시오! 감사합니다! 사랑합니다! ♡◇♡ㅎㅎ
191,소중한 동민님이 있어서 저는 행복합니다! ^◇^♡ 즐겁고 행복한 연휴 되시길 바래요! ^◇^♡ 동민님 사랑해요! ^◇^♡ 감사해요! ^◇^♡ㅎㅎㅎ
192,생일축하드려요
193,악어님 생일 축하드리고 항상 건강하시길❤️❤️❤️
194,생일 축하드려용ㅎㅎ🎁
195,생일 축하 합니당❤️❤️
196,악어님 생일축하드령요오오!!! 저 징짜 1일 3악어해여ㅠㅠㅠㅠㅠㅠㅠㅠㅠ❤❤
197,매일 응원합니다 생일축하해여
198,형 다시 한번 생일축하해오👍👍❤️❤️
199,❤️와왕
200,우아아 만쉐잉
201,그때 일이있어서 생방 못 갔어.. 악어형 미안해..ㅠㅠ
202,우주최강 궈요미네욯ㅎ 많이 늦었지만 생일축하드려요
203,You look like J-hope 😔✊
204,Pareces vieja
205,Cupa huevosss
206,Tragate un murciélago
207,Te gusta eso no
208,😂😂😂
209,Pinche lame huevoss
210,Oye traga leche
211,Ya que comes murciélagos comete mejor mi verga
212,@oscar_oz486 eres buen puto
213,왜 지금봤는데도 잘생기셤ㅅ나요..!!
214,💖💖💖💖💖
215,모두들 귀여운 토끼 같아
216,악어님 미모는 언제나 빛나시군요
217,둘다 너무 잘생겼다
