,댓글
113,옹 예뻥ㅛ
114,역시 부산 바다!!!!! 보고싶어요
115,광안대교네요 ❤️ 광안리 바닷가 좋져
116,풍경 실화
117,와 너무 예쁘당 !!ㅋㅋㅋ 나도 고향이 부산인데 ..ㅋㅋㅋ
118,오오 광안리다!!
119,우리집 보인다
120,으아 졸귀 ㅠㅠ💕 돼장 이거 어디서 파나용?살수있나여?! 진짜 이거 달력만 몇만원 해두 사고싶다❤️ 가보로 간직해야집..
121,3번이제일귀엽다ㅠ심장폭행하시네ㅠ😍😍
122,먹는 돼장이 너무 표현이 잘되있다..ㅋㅋㅋ
123,갖고싶다ㅜㅜ 근데 림보님 거기다 하얀 발바닥 그려넣으면 좋을것 같아요ㅋㅎㅋㅎ😂😂
124,"Hello, I am a manager of an advertising agency and we have an offer for you, could you provide your mail or other way of communication where I could send information?"
125,아 넘 귀엽다!♥♥
126,2021년도도 퐈이팅 돼장 !!
127,그날이후 그림속 돼지들은 돼장 배쏙 으로 들어 갔다고한다. 오늘 이야기 끝~
128,이거 어디서 샀어? 나도 알려줘
129,달력 달라구요 ㅠㅡㅠ
130,넘 귀여워요!!!
131,꺄악 넘 귀여워!!!!!!
132,제가 뭘 보내드리고 싶은데 주소...
133,우와....먹고싶다....(츄릅)
134,아니 무슨 택배가 이렇게 많이..
135,와...저도 그렇게 인기많은 사람이 되고 싶어요.ㅠㅜ
136,먹는거만 잔뜩..ㅋㅋ
137,뒤에 초코칩 있던데 림보님 과자를 좋아하셨나요...??😮🍪🍪
138,ㅋㅋㅋㅋㅋㅋ
139,"또 먹을 거만 보내주셨나 보네 .. 돼장 ,10년동안은 안 굶주리겠어 ㅋㅋㅋ"
140,다 먹을거 보내신거 같은뎈ㅋㅋㅋ
141,감사합니다 돼장 살 삐워주셔서😂😂
142,-더 돼지가 되고 있는 중입니다-
143,다 먹을꺼 같고 저거저거 몇달이면 다 먹는데.....
144,근데 그림....
145,악 진짜 기욥다ㅋㅋㅋㅜㅜ
146,우와! 좋으시겠어요!!!
147,실제로 만났으면 군림보 얼굴을.........
148,부럽ㄷ..
149,어멈 기여워
150,와 얼굴도 봤나?
151,근데 다들 군림보를 날씬하게 그리는 것 같은데 ..(내 기분 탓인가 ??)
152,왜케 날씬해요
153,돼장 진짜 잘 그렸다
154,그 초등학생분...? 얼굴 어땠나요?ㅎㅎ 실제로 49세 같았나욤? 어? 내년이면 반백살이네여 미리 축하해요
155,실제로만났다고요오???
156,누구세요?돼....잘생긴 것을 보니 림보님은 아니고.....
157,누구인가 당신은! 돼장이라면 잘생긴 것이고 딴사람이라면 못생긴거시다
158,알유레디? 앙~
159,설마 ㅋㅋ
160,우리 림보님~잘생시겼네
161,Are you ready?? 앙~
162,백현 아니에요?
163,오 잘생겼다 림보형이야?
164,설마...림보형?
165,설마~~
166,백현이 군림보를 봤다고? ㄷㄷ
167,백현이 군림보를...?
168,역시 돼장
169,군림보 했다
170,가쓰오부시인줄..
171,아니 뭐 저리 맛있게 생겼어
172,고오오급 짜파게티
173,맛이게당....
174,아 너무 먹고 싶다...
175,외국에 살아서 저걸 못 먹어요...
176,?ㅁㅊ
177,마시겠당
178,ㅋㅋㅋ
179,쩝 ..맛잇겠드아 ~~
180,ㅋㅋㅋㅋㅋ
181,위 아저씨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
182,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
183,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
184,ㅋㅋㅋㅋㅋㅋㅋㅋ
185,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
186,ㅋㅋㅋㅋㅋ
187,ㅋㅋㄲ
188,아저앀ㅋㅋㅋ
189,ㅋㅋㅋㅋㅋㅋ 아죠씨 ㅋㅋㅋ 조만간 북극뽕2탄 가즈아 돼장 나 돈모아서 북극뽕하게 만들꺼야 ㅋㅋ
190,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
191,아저씨 ㅋㅋㅋㅋㅋㅋㅋ
192,과연....
193,넵 실패
194,제발 운동해주세요 !!(근데 팩트로 안 하실 것 같음 ㅋㅋㅋ )
195,아죠씨 미안하지만요 넝담 그만 하세요 어차피 사놓고 안할거 다 알어❤️❤️😍
196,확 운동해 보세여!(525252어차피 안 하겠지만......ㄲㄱ
197,안돼 돼장?
198,"돼장 안할거자나,,책임없는 말은 하지마😂"
199,돼장 초심 잃은거야? 딱9키로만 더 찌잨ㅋㅋ
200,해 제발
201,멈춰
202,👏군립보님화이팅
203,정말로 하시길..
204,푸짐하네요ㅋㅋㅋ👏❤️❤️❤️
205,😂😂😂😂😂👏👏👏
206,마싰겠엉
207,"저거 일인분,,,?"
208,림보님이 혼자 다드실수 있을것 같아요
209,역시 대단하시다
210,👏👏👏👏
211,와
212,돼장도 맛있는 거 많이 먹고 추석 잘 보내시기를 ><
213,혼자 다 먹어?? 너무 부족하지 않아?
214,어머니 요리 솜씨가 좋으신가 보다
215,림보님한데는 0.1인분정도는 될거야.
216,그중에 데가 구독했쪙ㅅ
217,축카축카
218,추카추카👏👏매일 구독하구있어여!!
219,축배를들어라 👏👏👏
220,100만 금방 갈듯 ❤️❤️❤️❤️
221,"90만 됐다 이제 !! 이제 100만 가즈아 ~~~~"""""""
222,추카추카
223,ㅊㅋㅎㄴㄷ
224,지금은 90만이신데...... 벌써....
225,우와 ㅊㅋㅊㅋ
226,돼장!!! 100만 가즈아ㅏㅏㅏㅏ🔥
227,추가
228,형 샌박 소속이었어...?!
229,이런것도 다 보내주네ㅋㅋ
230,돼장 추석 잘보내욤😋😋
231,돼장 추석이니까 많이 드세요!
232,어...........샌박으로 오신건가
233,림보님 어몽어스 올려서 조회수 빨지말고 배그로 돌아와두세요.
234,찜닭 드시라고 도네 했는데 어몽만하니 안돼겠군 ‘돼’지 ‘장’조림씨
235,림보형 나는 무슨게임을 하던지 상관없으니까 건강하고 오래오래 방송해죠 ❤️
236,❤️❤️❤️
237,와우👏👏 샌드박스 소속이였네 돼장이
238,찐군림보에요?
239,돼장 항상 fighting!!
240,림보님 만나고 싶어요
241,추카츠카
242,와!!!!👏👏👏👏
243,돼장님
244,컴컴모탑!
245,정답!홍ㅂ엌
246,여윽시 ~~ 어몽어스 겜 유튜버 답네 ~~
247,축하드려요👏
248,림보님 저 영상이 레전드긴 했음
249,역시 컴퓨터는 컴마왕 모니터는 탑싱크
250,ㅋㅋㅋㅋㅋㅋㅋ 저 영상이 레전드 ㅇㅈㅋㅋㅋㅋㅋ
251,컴퓨터는 컴마왕 모니터는 탑싱크 발바닥은 하양색 입니다
252,너무 귀여운데요❤️
253,와ㅠㅠ귀여워❤️❤️❤️
254,형보다 날씬하네
255,예쁘당!!
256,어디서 파나요? 당장 달려가서 사도록하죠 너무 귀여워요😍😍
257,😍
258,어디서 팔아요🔥
259,❤️❤️❤️❤️
260,나도 갔고 싶다...
261,나도 이거 사고만다
262,귀엽다❤️
263,와 컵 존귀다 ㅋㅋㅋㅋㅋㅋㅋ
264,재능낭비
265,돼장 애교부려봐
266,우와ㅏ아아아아아ㅏ아앙아아
267,돼장❤️❤️
268,진짜 꿀꿀단분들은 금손이신거 같아요..💗
269,노잼
270,오어 진짜예뿌댜
271,❤️❤️❤️
272,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
273,와 너무 예쁘다 ~~~😍
274,얼마에 파나역ㅋㅋ
275,정말예뻐옄 ㅋ
276,킹크램 이랑 소주 ㅋㅋ
277,알스에 해산물 안 드시는 분이..ㅡㅡ;; 뭐 그래도 운치는 좋았겟네요..ㅋㅋ
278,술..
279,림보님 소주드세요? 2번째 사진에 소주잔이 있네요
280,돼장오늘도 킹크렙이라는 한생명을 흡수한거야?
281,여기 어디야?
282,고기????
283,맛있겠당_츄릅
284,와 야식 살찐다~~~~
285,저기 부산인디 나 완전많히가봤었는데
286,뭘 또 드셨대
287,거긴 또 어디인지 아시는분 ㅋㅋㅋ
