,댓글
154,우리 이모 같당👏
155,귀엽거나 잘생기거나 둘 중 하나만 하라고
156,너도 붓니..
157,커엽당
158,아 너무 귀여워 최강미묘야
159,사랑해❤️‍🔥
160,기여워
161,@_adorable__jj 호두가태 ㅠㅠㅠㅠㅠ❤️
162,윽 귀여워 ㅠㅠㅠㅠㅠㅠㅠ
163,🔥
164,🙌
165,❤️❤️❤️❤️❤️
166,💗💗💗💗💗
167,wow 🥺👏🏻♥
168,귀여웡
169,❤️❤️
170,ㅋㅋㅋㅋㅋ노미 뭐 물고 있는 거야??ㅋㅋㅋ
171,정민이형 노미래미 종이 머야
172,강하다 귀여워
173,애용애용김애용
174,노미가 왠일로 힘을쓰네😍
175,개귀엽다
176,귀엽지만 형이 더 귀여움
177,한번물면 절대 놓지않는 맹수 ㄷㄷㄷ
178,오매 털봐
179,아니 고양이 너무귀엽다
180,개기여엉 ㅋㅋ ❤️
181,생일축하해요 번듯한바지님👏👏🥳🎊❤️
182,왤케 잘생김 ?
183,진짜 반했어
184,으😢
185,😮
186,ㄱㅇㅇ
187,귀여워
188,오빠 생축이욤 ❤️
189,낯설어 라지
190,😮
191,왱케 말랏어
192,살빠졌다 ㄹㅇㅋ
193,나는 당신이. 더 좋아.
194,저건 벨트일끄 ..?
195,돼지. 맛잇게 먹어.
196,좋아해..
197,유튜브 1일 1영상 약속해…
198,마니먹오 애기^^...
199,@10000joy 라지 기염둥이..😍
200,배정민~
201,자세가 ㄷㄷ 합니다잉
202,😮
203,😮
204,나는왜 안데려가?
205,주황색도 어울리는 그는 도대체...❤️
206,민정 내가 저거 살 돈 벌어 올게
207,가시나야 와이리 잘생겼노
208,@chaen_k_23
209,씁 떽
210,귀여워...배정민 너란남자...
211,기여워❤️❤️
212,배정민 나이키 좋아해?
213,손님 만지시면 안돼요~
214,😮
215,형 거북목.. ㅋㅋ
216,@llminkongll
217,범퍼형 완전 오랜만
218,모니터 타면 나한테 나누기!❤️❤️❤️
219,ㅎㅇㅌ
220,범퍼 형 어서오고
221,미라지 절대 이겨 ~~~ ❤️‍🔥❤️‍🔥
222,와ㅏㅏㅏㅏㅏㅏ~
223,배정민 사랑해여 ~~~
224,주운바아???? 중력에 아부지이스 컴백😮
225,사나이 배정민 드가자 드가자
226,수고했어 형
227,배정민 절대이겨🔥🔥🔥
228,귀엽따🥺❤️
229,ㅋㅋㅋㅋ👏👏
230,커엽다 ..
231,헐 이거 소음 괜찮아요ㅠ? 밑에집에서 항의할가바ㅠ 못사는중 ㅠ
232,귀여워 죽겟다ㅜㅜ
233,😺😺
234,@kittybelle99 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 누가 생각나는 영상이네요
235,고양이 밥 값하는 중 ㅋㅋㅋ
236,래미가 주인 닮앗네...
237,고양이 사랑꾼 배정민... 난 배정민 사랑꾼이 되겟어 😘😘😘😘😘😘😘
238,냐옹
239,@ram____sss 졸귀ㅠ
240,귀여워...
241,@cm_k0909 채팅 봐 ㅋㅌㅋㅋㅋㅋㅋㅋ
242,으악 ♥️♥️
243,ㅋㅋㄱㄱ ㅋㅋㅋㅋ 수육 ㅁㅣ쳣..
244,옷좀입어 배때지.
245,ㅗㅜ 형 팔이지? 다린줄 알았어
246,헉 고양이두 정민오빠두 사랑해😍
247,❤️귀여엉
248,목욕이 맞아? 육수내는중아냐 형?
249,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
250,기엽노
251,아# ###### 귀여워
252,노미 귀여워🥺
253,안 아프게 차네..
254,"완전 개냥이네,,,귀엽따,,"
255,아진짜 개귀엽더
256,육포인줄 아는거 아님?
257,어제 방송에선 가만있었는데..! 역시 기분파 킹냥이인가.. 노미 넘 커여워ㅠㅜ💓💓
258,개귀엽네 미친
259,정민이형 내가 발길질하지말랬지
260,귀여워 ㅠㅜㅜㅠㅠ
261,고양이키우고싶어ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ
262,배정민이 더 긔여워..
263,"간지럽나봐ㅠㅠㅠ귀여워,,"
264,ㅋㄹㅋㄹㅋㄹㅋㄹㅋㄹ 퇴원하고신났구먼!!
265,뒤에 애들이 다보겠다 ㅋㅋ
266,정민이형 어린이가 됬다 옵린이가된 정민이형
267,귀협당
268,기여워
269,귀여운 배정민 ㅠ
270,배잼민..
271,@t_yunjin_t
272,"@maratang_1to27 아니 진짜 잘생겼는데 ㅠㅠㅠㅠㅠㅠㅠ아 나 진짜 뭐냐 ,,? 나 어케된듯 왜잘생겨보여"
273,아기 정민이형 됐다
274,잼민이들이 ㅈㄴ쳐다보겠다
275,오빠 애기들 타는거야 내려와
276,다행입니다..
277,ㄱㅇㅇ
278,언니...옷은 입어야지!
279,"@seo._.y_ 민정씨,,???"
280,"@jenttobbi 뭐이렇게 이쁘게 생기셨냐 ,,"
281,옷점입어ㅡㅡ
282,깜짝이야 아주머니인줄알앗엉 푸근행
283,@hxvnkd 정민이횽 입술 존나 순대같누 ㄹㅇ.
284,ㅎㅎ몸관리하자 내가 걱정할건 아닌데 건정되 형
285,@aaxhy 정민씨 왤케 홀쭉해져써..?ㅠ ㅠ
286,이목구비 미쳤다
287,@dxnbi_tkd 너 총몇명 아냐 ?
288,ㅗㅜㅗㅜ8등신..
289,이잉ㅇㅠㅠ 아프지마용 ㅠㅠ
290,빨리 퇴원하고 얼른 방송해주세요 형!!
291,빨리 퇴원해서 다시 오버워치 해야지~
292,힘내!!!!
293,시간 빠르네
294,왤케 말랐어옹어어ㅓ
295,축하해요 👏👏
296,쾌유하세요❤️💓
297,민정이 아프지마 ㅠㅠ
298,미라끼 보고싶다궁
299,보고싶어요~~
