,댓글
139,ㅋㅋㅋㅋㅋ에이미 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
140,에이밐ㅋㅋㅋㅋㅋㅋㅋㅋ
141,흨ㅋㅋㅋㅋㅋ
142,케이스를 안낀것부터 예견된 운명😢
143,에이미 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여친인줄
144,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
145,빛....
146,@dlwpfh 아가뱅미니 봐줘ㅠㅠㅠㅠㅠㅠㅠ
147,형 너무 궁금해서 물어보는데 이거 형이야?
148,이때도 어떤 썰을 풀지 고민하는 모습이 담겨있네요.. 당신은..대체.....
149,ㄹㄱㄴ
150,@815120.129 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
151,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
152,ㅋㅋㅋㅋㅋㅋㅋ아니ㅋㅋㅋㅋㅋㅋ
153,@fhansolee
154,@y0ubiiin_k_
155,@_jin.__.1014 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
156,ㅆㅂ 꽈뚜룹인줄
157,잘생겼어요 ㅠㅠ 제 이상형
158,옵화 나도 안 경 뺏어가
159,아 기여웡💗💗
160,킹오빠 나랑 커플안경이야♥
161,뭘 해도 좋아...
162,꽈뚜룹 닮았어요
163,@zzwaa_ni ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
164,@reason_j2n ㄹㅇ 미라지인줄 앎
165,@haang__jin 누가누가 자수 남편이 될까 대회에서 결국 오킹이 이겻네.... 어휴 ㅋ 피곤타 증말!!!^^ 남자 둘이서 여자 하나 갖구 싸우냐구~
166,미라지??? 라지형이야???
167,오빠.평생.안경.만 껴. 사랑해.요. 오병민.❤️
168,앗살라말라이꿈~
169,월클귀염뽀짝 ㅠㅠㅠ 뱅미씨 40만 축하해💓 100만 가자🙌🔥
170,100만 가즈아 <~~~!
171,잘또 오킹.. 미쳐 진짜...... 앞으로 더 떡상해서 우주정복해주세요ㅠㅠㅠㅠㅠㅠㅠ
172,첨으로 댓글 달아보네요 아살라말라이쿰
173,"형 요즘 형 유튜브에 살고 있어,, 이런 공주사람을 왜 이번에 알게 됐지,,, 공주에서 형 한번만 보면 좋겠다,,,,"
174,거의 맨날 만명씩 늘던뎅 추카해요😝
175,축하해요우~🙌
176,체공 ㅠㅠ❤️
177,@silver_sol33 오킹이?
178,2500명일때부터 구독했는데 지금보니 굉장히 새롭구만
179,우리형 지금 48.6만명 !! 50만 가즈아ㅏㅏ
180,후욱후욱
181,@chaevely_128 깅엉웡...........🤭
182,@sweetrain0902 ??조금 잘생....?아니네
183,@minhee_aa 응 개존잘이야 .....
184,@queen_ji_7 구라 안치고 이건 진챠 잘생겻자냥 그치 웅웅
185,@ch_12.07 이게 더
186,말랐네..
187,@ej_sg_0120 병미니 탐방중인데 존나 잘생겻네 현기증나;
188,와 개잘생겼다 제발 돌아가
189,와 미쳤다
190,와 뭐야… 왜 섹시해? 미쳤다 다시봐도
191,@_zinnii 멀쩡한거 보니까 잘생겨보여..
192,"저도 아프면 뽀뽀 해줌니까 ?
#어지 병간호 하러 갈께요 🥰🥰"
193,빨리 나으세요!!!!ㅠ
194,형 힘내!!
195,@ga.___.on 요즘 내가 젤 빠진분 내 이상형 ㅠㅠ
196,아버님 아프지마세요😭 항상 건강하셔야 합니다 ❤️근데 진짜 며느리는 저에요....
197,방송이 뭣이 중한가요 아부지 건강이 최고중하죠
198,아기같이 생겼어요
199,"@s_yeon_gw 띵 종 ,,,?"
200,"@gim.rian 아 어쩌지 시집 가고싶다 후우,,"
201,@dyy.41 아ㅜ기야워
202,형 괜찮아
203,@kyy4263
204,귀엽다..
205,싫어요
206,@jerry_0321_ 0고백1차임
207,시러 결혼해 오킹
208,잘생김과 못생김이 공존한다
209,안돼 해주세요
210,엥
211,@8lacx_p3rl
212,@voraming_3 결혼안해준대ㅜㅜ 미오
213,@j__jjeongs
214,@d_tndus_b 0고백 1차임ㅠ 나 진짜 이 오빠랑 결혼하고 싶어
215,아 미치겠다 오며들었어 ㅜㅜ 존나 갖고싶다
216,@sssso_03 귀여워ㅠ
217,형 맥도날드에서 광고들어왔어..??
218,색이 식빵에 케찹에 달걀같아 예쁘네
219,마지막 왜 잘생겼지 ?
220,막짤에 심장에 무리 오잖아요 세상에나
221,@j.hye0ng 와 이거 마지막 진짜 니다
222,아 진짜 너무 귀엽다 눈꼬리가 매력포인트..❤️
223,@taeyoung1.3 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아왤케웃곀ㅋ
224,엽때요거기오병민씨마즈시죠??당신은신발을너무사랑해서채포함돠(철컹스철컹스)
225,조던 9!!!!!
226,막짤 심장아프다
227,@eunthe1 안 귀여워 진짜?
228,@jebin_i 앙 귀여워 ㅜㅜㅜㅜ
229,@mxxhye_
230,@dfo__9 야 잠만 이것도 봐줘
231,@of.lblr 오킹 잘생겼다니까...
232,@ssu.uum 아 신경쓰여
233,@y_eong_m 오빠…
234,@periwinklx_ 잘생겼다
235,@heokha 와 대박….
236,@gaeulllllll 야
237,@c_bin.03 이상형
238,와씨발
239,@seo_ul92 …?
240,@yejin0502_ 제발 배바지 해주셨으면
241,배바지하고 뛰오는거 보면댐?
242,슨거같은데
243,@jjun_0225 이사람 방송 봐줘 제발 넘웃김
244,형 이건좀
245,자두
246,진짜 너무 잘생걌어요
247,뛰어와줘 형
248,아 재치있어 아
249,@seo._.gyomieeee 잘생겼어ㅠㅠ
250,마지막 포즈 뭐에요 ㅠㅠㅠ 동네 애기 깡패 같아요 넘모 귀엽다..❤️
251,낮방 안갈태니까 배바지하고 뛰어와죠요..
252,@seoyeong195 내이상형 오킹
253,ㅋㅋㅋㅋㅋㅋㅋ귀여웤ㅋ큐ㅠㅠㅠ
254,❤️
255,기엽당
256,@ga._hy_un 새사랑을 시작해보려해
257,@dang._.n.i 남친짤
258,아 너무 귀여워요 ㅠㅠㅠㅠㅠ
259,기요미ㅠ
260,완전 애기네
261,@soun__d oh
262,@dlghwjd_121 너무예뻐
263,잘생겻어요...😍
264,아 형 사랑해
265,귀척도 좋음.
266,사랑스러워요 😭😭😭❤️
267,마도랐나 맞팔해라
268,@zlvou 이 남자.. 갖 고 싶 다
269,오빠 진ㅋ자 너무 귀어요유ㅠ ㅠㅠ 사랑햐요 ㅠㅠ
270,@98_eun_jin_ 오킹 ... ㅠ💜
271,@10o6_rkdmss ㅅㅂ 너무귀여워
272,통통한 볼살 뜯어버리거 싶다
273,귀여웡
274,아기여워
275,ㄱㅏ글안해도 귀엽잖아요
276,@chonimohc
277,@chonimohc
278,@_ji_hye_03 오킹 졸귀야 ㄹㅇ
279,❤️
280,남친짤
281,@__uzxxy 하 ㅠㅜㅜ
282,@queen_ji_7 이 세상에 여한 업 다 ~~.... 브이도 왤케 귀여운고야 뿌...... 이 세상 귀여움 다 내가 가져감 ㅠ .... <<(?)
283,이사람을 어떡하면 좋지...?
284,@moong.goong ㅋㅋㅋㅋㅋㅋㅋㅋ
285,@dlghwjd_121 하 남친짤의정석
286,나랑결혼해야겟네;;;
287,@ally0228_ 레전드
288,닮은꼴 찾음1
289,형 담배펴?
290,형닮았는데
291,형 다렉좀 봐바바바ㅏ바바
292,형사랑해
293,형닮았어
294,ㅆㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
295,우와 재밌다 병민이 형
296,개귀엽네 젠장
297,귀여엉!!
298,수능영상보고 진짜 너무 빠져서ㅓ어제 잠을 못잤습니다
299,@dang._.n.i ㅋㅋㅋㅋㅋ 깔깔깔깔~~~
300,아 귀엽다
301,@oasicodms 이때부터였음
302,@bbyeol813 후 귀여워서 저세상갈거 같아
303,이때부터 잉잉..
304,잉잉 가지마 잉잉
305,우정잉잉?
306,@neugimohnundero 귀여웡
